정류소번호,정류소명,총계,성인 승차 인원,청소년 승차 인원,어린이 승차 인원,위도,경도
4182,신흥맨션,128325,102601,17671,8053,35.17656667,126.93369444
4456,운암우미아파트,128111,111852,15661,598,35.18391447,126.87134081
2308,염주주공,127855,108990,16187,2678,35.13990132,126.87637692
2284,화정중흥파크,127853,117472,9607,774,35.15502500,126.88361700
2291,월산마을,127138,111624,14476,1038,35.14213800,126.88803200
1123,국립아시아문화전당(구.도청),126406,106163,16440,3803,35.14867900,126.91785000
1154,동산마을입구,126363,89017,18395,18952,35.13229444,126.94481944
4564,동강대,126260,73803,51730,728,35.16965570,126.92103246
5732,장덕마을,125363,87498,32204,5661,35.19322500,126.81460833
3259,송화마을4단지,124910,94040,22414,8456,35.10713022,126.90452456
2067,상무병원,124133,106797,15340,1996,35.15248333,126.85475556
2239,한국수자원공사,124106,104845,17009,2253,35.15226140,126.84868595
1096,소태역,123379,95598,20147,7634,35.12330497,126.93259416
5195,신창초교,123088,92681,29101,1307,35.19756475,126.83963198
4352,전대치과병원,122352,106362,15434,556,35.17156944,126.90325000
3144,향교,122051,106475,14518,1059,35.14556000,126.90960800
1006,4.19기념관,122043,108908,12047,1087,35.16208889,126.91763889
2077,광주학생독립운동기념관,121015,99902,19292,1822,35.14484722,126.86463056
4085,용두주공,121010,95152,23567,2292,35.21273647,126.87057261
2025,마재부영아파트,120412,87546,24763,8103,35.12438991,126.86011485
2080,상무중,119930,84912,33060,1958,35.14430833,126.85841667
1093,광주남초교,119793,93262,18254,8277,35.12635936,126.93147328
1150,학동시장,119528,111342,6882,1304,35.13665556,126.92529722
2224,상무역,119234,100009,17176,2048,35.14641389,126.84773640
4551,효동초교입구,118120,103365,12737,2018,35.16973523,126.91112203
4560,교육대,117660,97071,15757,4832,35.16366785,126.92340336
4262,향토음식박물관,117620,85344,30966,1310,35.20203333,126.89667222
5272,광산중,117473,101029,14885,1560,35.15905833,126.80773611
4443,문화예술회관후문,116489,97276,18317,896,35.17874036,126.88034463
3129,봉선삼익사거리,116346,101227,13328,1790,35.12647792,126.91138659
